netstrain	pxy1	varcorCSYM	Pxy[Mpa]
2.2650	1.3083	91.7316	1308.3055
2.2700	1.3127	91.7750	1312.6764
2.2750	1.3153	91.7623	1315.3258
2.2800	1.3197	91.7544	1319.6560
2.2850	1.3223	91.7516	1322.3185
2.2900	1.3266	91.6208	1326.5741
2.2950	1.3293	91.7356	1329.3004
2.3000	1.3336	91.6880	1333.5612
2.3050	1.3363	91.6365	1336.2759
2.3100	1.3405	91.6304	1340.5321
2.3150	1.3432	91.6400	1343.2496
2.3200	1.3475	91.6426	1347.5130
2.3250	1.3502	91.7127	1350.2352
2.3300	1.3545	91.6561	1354.4623
2.3000	1.3336	91.6880	1333.5612
2.3350	1.3572	91.6672	1357.1877
2.3400	1.3614	91.6762	1361.4339
2.3450	1.3642	91.5655	1364.1573
2.3500	1.3684	91.6584	1368.4021
2.3550	1.3711	91.5767	1371.1345
2.3600	1.3754	91.5489	1375.4317
2.3650	1.3781	91.6204	1378.1026
2.3700	1.3824	91.6161	1382.3853
2.3750	1.3851	91.5876	1385.0755
2.3800	1.3893	91.5293	1389.3373
2.3850	1.3920	91.6097	1392.0148
2.3900	1.3963	91.5239	1396.3162
2.3950	1.3990	91.5438	1399.0120
2.4000	1.4033	91.5408	1403.3027
2.4050	1.4060	91.6044	1406.0054
2.4100	1.4103	91.4883	1410.3078
2.4150	1.4130	91.6079	1412.9790
2.4200	1.4173	91.4897	1417.2782
2.4250	1.4200	91.5262	1419.9655
2.4300	1.4242	91.4798	1424.2306
2.4350	1.4270	91.5594	1426.9634
2.4400	1.4311	91.4970	1431.1441
2.4450	1.4340	91.5000	1433.9519
2.4500	1.4381	91.4707	1438.1462
2.4550	1.4385	91.5690	1438.4727
2.4600	1.4424	91.5333	1442.4335
2.4650	1.4454	91.5657	1445.3746
2.4700	1.4494	91.5284	1449.3906
2.4750	1.4523	91.5884	1452.3407
2.4800	1.4564	91.5300	1456.4215
2.4850	1.4593	91.5257	1459.2878
2.4900	1.4634	91.4861	1463.3866
2.4950	1.4663	91.5528	1466.2615
2.5000	1.4703	91.5090	1470.3453
2.5050	1.4732	91.4606	1473.2198
2.5100	1.4773	91.4990	1477.3198
2.5150	1.4802	91.5316	1480.2096
2.5200	1.4843	91.4693	1484.2745
2.5250	1.4872	91.4633	1487.1669
2.5300	1.4912	91.4832	1491.2170
2.5350	1.4941	91.5024	1494.0862
2.5400	1.4983	91.4564	1498.2510
2.5450	1.5010	91.4402	1501.0136
2.5500	1.5052	91.4448	1505.1913
2.5550	1.5080	91.4969	1508.0023
